"","Date","Location","Airplane.model","Fatalities"
"877","Nov 29, 2010 at 1330 LT","Tuguegarao, Cagayan","Beechcraft Queen Air 80",0
"878","Nov 28, 2010 at 1015 LT","Swindon, Wiltshire","Gippsland GA8 Airvan",0
"879","Nov 28, 2010 at 0148 LT","Karachi, Sindh (<U+0633><U+0646><U+068C> <U+0633><U+0646><U+062F><U+06BE>)","Ilyushin II-76",12
"880","Nov 24, 2010 at 1436 LT","Monterrey, Nuevo León","Antonov AN-32",5
"881","Nov 19, 2010 at 1535 LT","Birmingham, West Midlands","Cessna 501 Citation I",0
"882","Nov 19, 2010 at 0900 LT","Paris-Le Bourget, Seine-Saint-Denis","Lockheed C-130 Hercules",0
"883","Nov 18, 2010 at 1456 LT","Sana'a, Sana'a (<U+0635><U+0646><U+0639><U+0627><U+0621>)","Lockheed C-130 Hercules",0
"884","Nov 17, 2010 at 1553 LT","Portland-Hillsboro, Oregon","Learjet 25",0
"885","Nov 13, 2010 at 1602 LT","Andahuaylas, Apurímac","Swearingen SA227AC Metro III",0
"886","Nov 11, 2010 at 1618 LT","Zalingei, Central Darfur","Antonov AN-24",2
"887","Nov 10, 2010 at 1100 LT","Anthony, New Mexico","Partenavia P.68",0
"888","Nov 5, 2010 at 1423 LT","Huánuco, Huánuco","Swearingen SA227AC Metro III",0
"889","Nov 5, 2010 at 0706 LT","Karachi, Sindh (<U+0633><U+0646><U+068C> <U+0633><U+0646><U+062F><U+06BE>)","Beechcraft 1900C",21
"890","Nov 4, 2010 at 1751 LT","Cuba, Cuba","ATR72-200",68
"891","Nov 4, 2010 at 1620 LT","Aix-en-Provence, Bouches-du-Rhône","Beechcraft King Air 90",2
"892","Oct 27, 2010 at 1740 LT","Aguadilla, Puerto Rico","Piper PA-31-350 Navajo Chieftain",0
"893","Oct 27, 2010 at 1630 LT","Wami, Central Sulawesi","PZL-Mielec AN-28",5
"894","Oct 26, 2010 at 0708 LT","Wentworth, South Yorkshire","Piper PA-31-350 Navajo Chieftain",0
"895","Oct 25, 2010 at 1120 LT","Kirby Lake, Alberta","Beechcraft King Air 100",1
"896","Oct 24, 2010 at 1200 LT","Santa Isabel, La Pampa","PZL-Mielec AN-2",0
"897","Oct 21, 2010 at 1200 LT","Bukavu, Sud-Kivu","Let 410UVP",2
"898","Oct 16, 2010","Mukinge, North-Western","Harbin Yunsunji Y-12",0
"899","Oct 15, 2010 at 1715 LT","Lady Barron, Tasmania","Gippsland GA8 Airvan",0
"900","Oct 12, 2010 at 1950 LT","Kabul, Kabul","Lockheed C-130 Hercules",8
"901","Oct 6, 2010 at 0800 LT","Coatzacoalcos, Veracruz","Cessna 501 Citation I",8
"902","Oct 5, 2010 at 1220 LT","Nassau, New Providence","Cessna 402",9
"903","Oct 2, 2010 at 1024 LT","Kirensk, Irkutsk oblast","Cessna 208 Caravan",0
"904","Oct 1, 2010 at 0830 LT","Manteo, North Carolina","Cessna 550 Citation II",0
"905","Sep 24, 2010 at 2008 LT","Palermo, Sicily","Airbus A319",0
"906","Sep 22, 2010 at 1700 LT","Montmagny, Quebec","Beechcraft King Air 100",0
"907","Sep 19, 2010 at 1440 LT","South Bimini, Bimini","Piper PA-31-350 Navajo Chieftain",0
"908","Sep 13, 2010 at 0959 LT","Puerto Ordaz, Bolívar","ATR42-300",17
"909","Sep 7, 2010","Uribe, Meta","Beechcraft Super King Air 350",6
"910","Sep 5, 2010 at 1526 LT","Pointe-à-Pitre, Guadeloupe","Cessna 208B Grand Caravan",0
"911","Sep 4, 2010 at 1327 LT","Fox Glacier, West Coast Regional Council","Fletcher FU-24",9
"912","Sep 3, 2010 at 1941 LT","Dubai, Dubai","Boeing 747-400",2
"913","Sep 3, 2010 at 1830 LT","Tuluksak, Alaska","Cessna 207 Skywagon",0
"914","Sep 2, 2010 at 1151 LT","San Carlos, California","Beechcraft Queen Air 80",3
"915","Aug 31, 2010 at 1615 LT","Bwagaoia (Misima Island), Milne Bay","Cessna 550 Citation II",4
"916","Aug 26, 2010 at 2245 LT","Tabriz, East Azerbaijan","Fokker 100",0
"917","Aug 25, 2010 at 1756 LT","Tallinn, Harjumaa","Antonov AN-26",0
"918","Aug 25, 2010 at 1440 LT","Vitória da Conquista, Bahia","Embraer ERJ-145",0
"919","Aug 25, 2010 at 1400 LT","Bandundu, Bandundu","Let 410UVP",20
"920","Aug 24, 2010 at 2138 LT","Yichun, Heilongjiang","Embraer ERJ-190",44
"921","Aug 24, 2010 at 0725 LT","Kathmandu, Bagmati","Dornier DO228",14
"922","Aug 21, 2010 at 1412 LT","Kaminshak Bay, Alaska","De Havilland DHC-2 Beaver",4
"923","Aug 16, 2010 at 0147 LT","San Andrés, Antioquia","Boeing 737-700",2
"924","Aug 13, 2010 at 1500 LT","Mercedes, Buenos Aires province","Piper PA-42 Cheyenne",0
"925","Aug 12, 2010 at 0916 LT","Rio de Janeiro, Rio de Janeiro","Learjet 55 Longhorn",0
"926","Aug 11, 2010 at 0855 LT","Burns, Oregon","Rockwell Aero Commander 500",2
"927","Aug 9, 2010 at 1442 LT","Aleknagik, Alaska","De Havilland DHC-3 Otter",5
"928","Aug 5, 2010 at 2337 LT","Sydney, Nova Scotia","Cessna 414 Chancellor",2
"929","Aug 5, 2010 at 2216 LT","Bequia Island, SV&G","Cessna 402",1
"930","Aug 3, 2010 at 1900 LT","Ukraine, Ukraine","PZL-Mielec AN-2",0
"931","Aug 3, 2010 at 0119 LT","Igarka, Krasnoyarsk Krai","Antonov AN-24",12
"932","Aug 1, 2010 at 1500 LT","Denali National Park, Alaska","Fairchild C-123 Provider",3
"933","Jul 31, 2010 at 2024 LT","Lytton, British Columbia","Convair CV-580",2
"934","Jul 28, 2010 at 1822 LT","Elmendorf AFB, Alaska","McDonnell Douglas C-17 Globemaster III",4
"935","Jul 28, 2010 at 1200 LT","Camp Dwyer AFB, Helmand","Antonov AN-12",0
"936","Jul 28, 2010 at 0941 LT","Islamabad, Islamabad Capital Territory (<U+0648><U+0641><U+0627><U+0642><U+06CC> <U+062F><U+0627><U+0631><U+0627><U+0644><U+062D><U+06A9><U+0648><U+0645><U+062A>)","Airbus A321",152
"937","Jul 28, 2010 at 0130 LT","Conakry, Conakry Region","Boeing 737-700",0
"938","Jul 27, 2010 at 1816 LT","Oshkosh, Wisconsin","Raytheon 390 Premier I",0
"939","Jul 27, 2010 at 1138 LT","Riyadh, Mantiqat ar Riya<U+1E0D> (<U+0645><U+0646><U+0637><U+0642><U+0629> <U+0627><U+0644><U+0631><U+064A><U+0627><U+0636>)","McDonnell Douglas MD-11",0
"940","Jul 24, 2010 at 1053 LT","La Grande, Quebec","De Havilland DHC-2 Beaver",2
"941","Jul 23, 2010 at 0727 LT","Ketchikan, Alaska","De Havilland DHC-2 Beaver",1
"942","Jul 21, 2010 at 0932 LT","Keperveyem, Chukotka okrug","Antonov AN-12",0
"943","Jul 20, 2010 at 1200 LT","Lubumbashi, Katanga","Fokker F27 Friendship",0
"944","Jul 19, 2010 at 1400 LT","Mount Pleasant, South Carolina","Comp Air CA-8",1
"945","Jul 18, 2010 at 1330 LT","Rankin Inlet, Nunavut","Rockwell Aero Commander 500",0
"946","Jul 17, 2010 at 0730 LT","Cairo, Cairo","Boeing 747-300",0
"947","Jul 16, 2010 at 1117 LT","Chute des Passes, Quebec","De Havilland DHC-2 Beaver",4
"948","Jul 15, 2010 at 1646 LT","Brac, Dalmatia","Cessna 550 Citation Bravo",0
"949","Jul 10, 2010 at 2205 LT","Tulsa, Oklahoma","Cessna 421 Golden Eagle",3
"950","Jul 7, 2010 at 1020 LT","Piedras Negras, Coahuila","Piper PA-31-350 Navajo Chieftain",8
"951","Jul 6, 2010 at 1745 LT","Orange, New South Wales","Gippsland GA8 Airvan",0
"952","Jul 5, 2010 at 1740 LT","Tuzla, Constan<U+021B>a","PZL-Mielec AN-2",12
"953","Jul 4, 2010 at 0015 LT","Alpine, Texas","Cessna 421 Golden Eagle",5
"954","Jun 30, 2010 at 1540 LT","Wiesbaden-Erbenheim AFB, Hesse","Beechcraft Super King Air 200",0
"955","Jun 27, 2010 at 1730 LT","Alaska, Alaska","De Havilland DHC-2 Beaver",0
"956","Jun 27, 2010 at 1545 LT","Voskresensk, Moscow oblast","PZL-Mielec AN-2",0
"957","Jun 24, 2010 at 1730 LT","Kokshetau, Akmola","PZL-Mielec AN-2",2
"958","Jun 23, 2010 at 1050 LT","Puerto Barrios, Izabal","Piper PA-31-350 Navajo Chieftain",2
"959","Jun 23, 2010 at 0603 LT","Quebec City, Quebec","Beechcraft King Air 100",7
"960","Jun 19, 2010 at 1703 LT","Plymouth, Massachusetts","Cessna 401",0
"961","Jun 19, 2010 at 1447 LT","Berlin, Berlin","Douglas DC-3",0
"962","Jun 19, 2010 at 1000 LT","Congo, Congo","Casa 212 Aviocar",11
"963","Jun 18, 2010 at 1930 LT","Chiclayo, Lambayeque","Dassault Falcon 20",0
"964","Jun 15, 2010 at 0805 LT","Bankstown, New South Wales","Piper PA-31-350 Navajo Chieftain",2
"965","Jun 14, 2010 at 1730 LT","Felipe Carrillo Puerto, Quintana Roo","Cessna 208 Caravan",9
"966","Jun 13, 2010 at 1100 LT","Lanseria, Gauteng","Swearingen SA226AC Metro II",0
"967","Jun 12, 2010 at 0725 LT","La Carlota-Francisco de Miranda AFB (Caracas), Caracas Federal District","PZL-Mielec AN-28",3
"968","Jun 4, 2010 at 1200 LT","Sharana AFB, Parwan","Lockheed C-130 Hercules",0
"969","May 26, 2010 at 0930 LT","Cartwright, Newfoundland & Labrador","Piper PA-31-350 Navajo Chieftain",2
"970","May 26, 2010 at 0855 LT","Guatemala City, Guatemala","Piper PA-31-350 Navajo Chieftain",4
"971","May 22, 2010 at 0605 LT","Mangalore, Karnataka","Boeing 737-800",158
"972","May 21, 2010 at 0020 LT","Luanda, Luanda","Beechcraft Super King Air 200",3
"973","May 19, 2010 at 0530 LT","Cascavel, Paraná","Embraer EMB-110 Bandeirante",0
"974","May 17, 2010 at 0937 LT","Afghanistan, Afghanistan","Antonov AN-24",44
"975","May 15, 2010 at 1510 LT","Suriname, Suriname","PZL-Mielec AN-28",8
"976","May 12, 2010 at 1200 LT","Astrakhan, Astrakhan oblast","PZL-Mielec AN-2",0
"977","May 12, 2010 at 0601 LT","Tripoli, Tripoli (<U+0637><U+0631><U+0627><U+0628><U+0644><U+0633>)","Airbus A330",103
"978","May 10, 2010 at 1719 LT","Alert AFB, Nunavut","De Havilland DHC-6 Twin Otter",0
"979","May 6, 2010 at 1026 LT","Krasnodar, Krasnodar Krai","PZL-Mielec AN-2",0
"980","May 6, 2010","Brize Norton AFB, Oxfordshire","Lockheed C-130 Hercules",0
"981","May 5, 2010 at 1049 LT","Mitú, Vaupés","Embraer ERJ-145",0
"982","May 4, 2010 at 0817 LT","Odessa, Odessa Oblast","PZL-Mielec AN-2",0
"983","Apr 27, 2010 at 1830 LT","Arlit, Agadez","Beechcraft Super King Air 200",0
"984","Apr 21, 2010 at 2050 LT","Mexico City, Pampanga","Antonov AN-12",3
"985","Apr 20, 2010 at 1420 LT","Waipukurau, Hawke's Bay Regional Council","Fletcher FU-24",0
"986","Apr 13, 2010 at 2318 LT","Monterrey, Nuevo León","Airbus A300",7
"987","Apr 13, 2010 at 1055 LT","Manokwari, Special Region of West Papua","Boeing 737-300",0
"988","Apr 12, 2010 at 1525 LT","Georgia, Georgia","Rockwell Sabreliner 65",4
"989","Apr 10, 2010 at 1041 LT","Smolensk, Smolensk oblast","Tupolev TU-154",96
"990","Apr 1, 2010 at 1300 LT","Bahias de Huatulco, Oaxaca","Learjet 25",0
"991","Mar 31, 2010 at 1400 LT","Indian Ocean, World","Grumman E-2C Hawkeye",1
"992","Mar 30, 2010 at 1400 LT","Ivanovo, Ivanovo oblast","Antonov AN-74",0
"993","Mar 22, 2010 at 1009 LT","Darwin, Northern Territory","Embraer EMB-120 Brasília",2
"994","Mar 22, 2010 at 0235 LT","Moscow, Moscow oblast","Tupolev TU-204",0
"995","Mar 18, 2010 at 1018 LT","Tallinn, Harjumaa","Antonov AN-26",0
"996","Mar 15, 2010 at 1243 LT","Kodiak, Alaska","Britten-Norman Islander",0
"997","Mar 12, 2010","Port Harcourt, Rivers","Aeritalia G.222",0
"998","Mar 10, 2010 at 1405 LT","Tegucigalpa, Francisco Morazán","Cessna 421 Golden Eagle",3
"999","Mar 4, 2010 at 1245 LT","Louisa, Virginia","Cessna 303 Crusader",1
"1000","Mar 4, 2010","Bossaso, Bari (<U+0628><U+0627><U+0631><U+064A><U+200E>)","Fokker F27 Friendship",0
"1001","Mar 1, 2010 at 1715 LT","Gaithersburg, Maryland","Socata TBM-700",0
"1002","Mar 1, 2010 at 1346 LT","Concepcion, Región del Biobío","Piper PA-31-350 Navajo Chieftain",6
"1003","Mar 1, 2010 at 1210 LT","Bagram AFB, Parwan","Airbus A300",0
"1004","Mar 1, 2010 at 0745 LT","Mwanza, Mwanza Region","Boeing 737-200",0
"1005","Feb 14, 2010 at 2038 LT","Dresden, Saxony","Cessna 550 Citation Bravo",2
"1006","Feb 12, 2010 at 1700 LT","Cascais, Estremadura - Lisbon District","PAC 750XL - Pacific Aerospace Corporation",1
"1007","Feb 12, 2010 at 1404 LT","Forest City, Iowa","Piper PA-31 Cheyenne",1
"1008","Feb 11, 2010 at 1150 LT","Balikpapan, East Kalimantan","ATR42-300",0
"1009","Feb 2, 2010 at 0210 LT","Munich, Bavaria","Cessna 425 Conquest",0
"1010","Jan 31, 2010 at 1513 LT","Luanda, Luanda","Yakovlev Yak-40",0
"1011","Jan 28, 2010 at 1251 LT","Wamena, Special Region of Papua","Antonov AN-26",0
"1012","Jan 28, 2010 at 1138 LT","Cotabato City, Maguindanao","GAF Nomad N22",9
"1013","Jan 25, 2010 at 1430 LT","Senador José Porfírio, Pará","Embraer EMB-110 Bandeirante",2
"1014","Jan 25, 2010 at 0241 LT","Beirut, Beirut Governorate","Boeing 737-800",90
"1015","Jan 24, 2010 at 0720 LT","Mashhad, Razavi Khorasan","Tupolev TU-154",0
"1016","Jan 21, 2010 at 2345 LT","Sand Point, Alaska","Beechcraft 1900C",2
"1017","Jan 18, 2010 at 1405 LT","Lorain, Ohio","Mitsubishi MU-2 Marquise",4
"1018","Jan 15, 2010 at 1407 LT","Les Eplatures, Neuchâtel","Beechcraft King Air 90",0
"1019","Jan 15, 2010 at 1407 LT","Oxford, Oxfordshire","Piper PA-31-350 Navajo Chieftain",2
"1020","Jan 14, 2010 at 0645 LT","Beagle Bay, Western Australia","Cessna 208 Caravan",0
"1021","Jan 13, 2010 at 1200 LT","Moba, Katanga","De Havilland Dash-8-100",0
"1022","Jan 8, 2010 at 1225 LT","Vail, Colorado","Dassault Falcon 20",0
"1023","Jan 7, 2010 at 1145 LT","Nassau, New Providence","Saab 340",0
"1024","Jan 6, 2010 at 0635 LT","Kerney, Nebraska","Beechcraft 99",0
"1025","Jan 5, 2010 at 1327 LT","Chicago, Illinois","Learjet 35",2
"1026","Jan 4, 2010 at 0910 LT","Heglig, South Kordofan (<U+062C><U+0646><U+0648><U+0628> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646>)","Antonov AN-12",0
"1027","Jan 2, 2010","Kinshasa, Kinshasa City Province","Boeing 727-200",0
"1028","Dec 31, 2009 at 0826 LT","Ketapang, West Kalimantan","Fletcher FU-24",2
"1029","Dec 29, 2009 at 1800 LT","Vomo Island, Fiji Islands","De Havilland DHC-3 Otter",0
"1030","Dec 22, 2009 at 2222 LT","Kingston, Kingston City District","Boeing 737-800",0
"1031","Dec 20, 2009 at 1200 LT","Tonj, Warrap (<U+0648><U+0627><U+0631><U+0627><U+0628>)","Avro 748",1
"1032","Dec 17, 2009 at 2130 LT","Matthew Town, Inagua","Dassault Falcon 20",2
"1033","Dec 13, 2009 at 1100 LT","Chelyabinsk, Chelyabinsk oblast","Technoavia SM-92 Turbo Finist",8
"1034","Dec 9, 2009 at 2250 LT","Chicoutimi, Quebec","Beechcraft King Air 100",2
"1035","Dec 7, 2009 at 1616 LT","Egelsbach, Hesse","Beechcraft King Air 90",3
"1036","Dec 7, 2009 at 1101 LT","George, Western Cape","Embraer ERJ-135",0
"1037","Dec 5, 2009 at 1830 LT","Honduras, Honduras","Cessna 303 Crusader",1
"1038","Dec 4, 2009 at 1845 LT","Harrison, Michigan","Piper PA-31 Cheyenne",1
"1039","Dec 2, 2009 at 2215 LT","Kupang, East Nusa Tenggara","Fokker 100",0
"1040","Dec 1, 2009 at 1200 LT","São Paulo, São Paulo","Boeing 727-200",0
"1041","Nov 28, 2009 at 1603 LT","Saturna Island, British Columbia","De Havilland DHC-2 Beaver",6
"1042","Nov 28, 2009 at 0814 LT","Shanghai, Shanghai","McDonnell Douglas MD-11",3
"1043","Nov 23, 2009 at 1410 LT","Pisa, Tuscany","Lockheed C-130 Hercules",5
"1044","Nov 19, 2009 at 1514 LT","Bamako, Bamako City District","De Havilland Dash-8-200",0
"1045","Nov 19, 2009 at 1100 LT","Goma, Nord-Kivu","McDonnell Douglas MD-82",0
"1046","Nov 18, 2009 at 2156 LT","Norfolk Island, Australia","IAI 1124 Westwind",0
"1047","Nov 15, 2009 at 0658 LT","Windhoek, Khomas Region","Cessna 208 Caravan",3
"1048","Nov 14, 2009 at 1018 LT","Fort Myers, Florida","Travel Air 4000",0
"1049","Nov 12, 2009 at 1250 LT","Kigali, Kigali City","Canadair RegionalJet CRJ-100",1
"1050","Nov 10, 2009 at 1640 LT","Mumbai, Maharashtra","ATR72-200",0
"1051","Nov 9, 2009 at 1200 LT","Nairobi, Nairobi City District","Beechcraft 1900D",2
"1052","Nov 9, 2009 at 1009 LT","Greenville, South Carolina","Beechcraft Super King Air 200",0
"1053","Nov 7, 2009","Ivanovo, Ivanovo oblast","Ilyushin II-76",0
"1054","Nov 6, 2009 at 2119 LT","Tatar Strait, Sakhalin oblast","Tupolev TU-142",11
"1055","Nov 5, 2009 at 1534 LT","Fort Pierce, Florida","Grumman G-64 Albatross",0
"1056","Nov 2, 2009 at 1200 LT","Mulia, Special Region of Papua","PZL-Mielec AN-28",4
"1057","Nov 1, 2009 at 0849 LT","Mirny, Republic of Yakutia (Sakha)","Ilyushin II-76",11
"1058","Oct 29, 2009 at 1909 LT","San Clemente Island, California","Lockheed C-130 Hercules",7
"1059","Oct 29, 2009 at 0915 LT","Brazil, Brazil","Cessna 208 Caravan",2
"1060","Oct 26, 2009 at 2134 LT","Minsk, City of Minsk","BAe 125",5
"1061","Oct 26, 2009 at 1143 LT","McAllen, Texas","Beechcraft King Air 100",4
"1062","Oct 22, 2009 at 1045 LT","Kralendijk, Dutch Antilles","Britten-Norman Islander",1
"1063","Oct 21, 2009 at 1531 LT","Sharjah, Sharjah (<U+0627><U+0644><U+0634><U+0627><U+0631><U+0642><U+0629><U+0651>)","Boeing 707",6
"1064","Oct 17, 2009 at 1238 LT","Manila, Metro Manila","Douglas C-47 Skytrain (DC-3)",4
"1065","Oct 16, 2009 at 1140 LT","Kangerlussuaq (Søndre Strømfjord), Qeqqata Kommunia","Piaggio P.180 Avanti",0
"1066","Oct 16, 2009 at 0824 LT","Weert, Limburg","Pilatus PC-12",2
"1067","Oct 15, 2009 at 1400 LT","Kwamalasamutu, Sipaliwini","PZL-Mielec AN-28",0
"1068","Oct 14, 2009 at 1600 LT","Managua, Managua City District","PZL-Mielec AN-2",0
"1069","Oct 13, 2009","Mombasa, Coast","Boeing 707",0
"1070","Oct 13, 2009","Afghanistan, Afghanistan","Beechcraft Super King Air 200",3
"1071","Oct 12, 2009","Angra dos Reis, Rio de Janeiro","Embraer EMB-500 Phenom 100",0
"1072","Oct 9, 2009 at 1200 LT","Fonds-Verrettes, West","Casa 212 Aviocar",11
"1073","Oct 9, 2009 at 1030 LT","Modena, Emilia-Romagna","Partenavia P.68",2
"1074","Oct 8, 2009","Kandahar, Kandahar","Antonov AN-32",0
"1075","Oct 6, 2009 at 1938 LT","Umgalala, White Nile (<U+0627><U+0644><U+0646><U+064A><U+0644> <U+0627><U+0644><U+0623><U+0628><U+064A><U+0636>)","PZL-Mielec AN-2",1
"1076","Oct 6, 2009 at 1450 LT","Aurora, Texas","Beechcraft King Air 100",0
"1077","Sep 28, 2009 at 1240 LT","Ozuki AFB, Chugoku","NAMC YS-11",0
"1078","Sep 24, 2009 at 0757 LT","Durban, KwaZulu-Natal","Bae Jetstream 41",1
"1079","Sep 22, 2009 at 0930 LT","Varamin, Tehran City District","Ilyushin II-76",7
"1080","Sep 16, 2009 at 1215 LT","Hayward, California","Beechcraft Super King Air 200",0
"1081","Sep 15, 2009 at 1435 LT","Sheffield, Massachusetts","Cessna 208 Caravan",0
"1082","Sep 14, 2009 at 1920 LT","Nairobi, Nairobi City District","Cessna 404 Titan",1
"1083","Sep 9, 2009","Kirovograd, Kirovograd oblast","PZL-Mielec AN-2",0
"1084","Sep 7, 2009 at 1428 LT","Long Apung, North Kalimantan","GAF Nomad N24",5
"1085","Aug 28, 2009 at 1800 LT","Nellis AFB, Nevada","Boeing E-3 Sentry",0
"1086","Aug 26, 2009 at 0810 LT","La Tortuga, Los Roques Federal Dependencies","Cessna 208B Grand Caravan",0
"1087","Aug 26, 2009 at 0500 LT","Brazzaville, Brazzaville City District","Antonov AN-12",6
"1088","Aug 16, 2009 at 1805 LT","Caracas, Caracas Federal District","Britten-Norman Islander",0
"1089","Aug 15, 2009 at 1200 LT","Zarafshon, Navoiy Province (Navoiy viloyati)","Antonov AN-24",0
"1090","Aug 14, 2009 at 1908 LT","Evora, Alto Alentejo","Beechcraft 99",2
"1091","Aug 12, 2009 at 1145 LT","Eden Prairie, Minnesota","Beechcraft E18",2
"1092","Aug 11, 2009 at 1114 LT","Kokoda, Central","De Havilland DHC-6 Twin Otter",13
"1093","Aug 4, 2009 at 1430 LT","Koh Samui, Surat Thani (<U+0E2A><U+0E38><U+0E23><U+0E32><U+0E29><U+0E0E><U+0E23><U+0E4C><U+0E18><U+0E32><U+0E19><U+0E35>)","ATR72-200",1
"1094","Aug 3, 2009 at 1000 LT","Ahwaz, Khuzestan","Boeing 707",0
"1095","Aug 2, 2009 at 1100 LT","Oksibil, Special Region of Papua","De Havilland DHC-6 Twin Otter",15
"1096","Jul 25, 2009 at 1805 LT","Mashhad, Razavi Khorasan","Ilyushin II-62",16
"1097","Jul 24, 2009","Salt Cay, Turks and Caicos Islands","Cessna 401",0
"1098","Jul 15, 2009 at 1133 LT","Qazvin, Qazvin","Tupolev TU-154",168
"1099","Jul 11, 2009 at 1300 LT","Akiachak, Alaska","Noorduyn Norseman",0
"1100","Jul 9, 2009 at 2208 LT","Vancouver, British Columbia","Piper PA-31-350 Navajo Chieftain",2
"1101","Jul 8, 2009 at 1352 LT","Florida, Florida","Cessna 421 Golden Eagle",5
"1102","Jul 6, 2009 at 0950 LT","Sarif-Umra, North Darfur (<U+0634><U+0645><U+0627><U+0644> <U+062F><U+0627><U+0631><U+0641><U+0648><U+0631>)","PZL-Mielec AN-28",0
"1103","Jul 5, 2009 at 1002 LT","Lynchburg, Virginia","Pilatus PC-12",4
"1104","Jun 30, 2009 at 0154 LT","Moroni, Comoros Islands","Airbus A310",152
"1105","Jun 29, 2009 at 1601 LT","Wamena, Special Region of Papua","De Havilland DHC-6 Twin Otter",3
"1106","Jun 27, 2009","Salerno AFB, Khost","BAe Jetstream 31",0
"1107","Jun 26, 2009 at 1726 LT","Capurganá, Chocó","Let 410UVP",0
"1108","Jun 23, 2009 at 1045 LT","Barcelona, Catalonia","Partenavia P.68",2
"1109","Jun 16, 2009 at 1620 LT","Crooked Creek, Alaska","Cessna 207 Skywagon",0
"1110","Jun 13, 2009 at 1130 LT","Krasnodar, Krasnodar Krai","PZL-Mielec AN-2",0
"1111","Jun 9, 2009 at 1300 LT","Kadamdzhayskom, Batken Province","PZL-Mielec AN-2",0
"1112","Jun 8, 2009","India, India","Antonov AN-32",13
"1113","Jun 7, 2009 at 1400 LT","Anchorage, Alaska","De Havilland DHC-2 Beaver",0
"1114","Jun 7, 2009 at 0830 LT","Port Hope Simpson, Newfoundland & Labrador","Britten-Norman Islander",1
"1115","Jun 6, 2009 at 1300 LT","Santa Rosa del Toachi, Santo Domingo de los Tsáchilas","Cessna 303 Crusader",1
"1116","Jun 6, 2009 at 0820 LT","Sittwe, Rakhine State","Fokker F28 Fellowship",0
"1117","Jun 2, 2009 at 1009 LT","Halaveli (Alifu Alifu Atoll), North Central Province","De Havilland DHC-6 Twin Otter",0
"1118","Jun 1, 2009 at 0014 LT","Fernando de Noronha, Pernambuco","Airbus A330",228
"1119","May 28, 2009 at 1055 LT","Quevedo, Los Ríos","De Havilland DHC-5 Buffalo",0
"1120","May 26, 2009 at 1616 LT","Isiro, Orientale","Antonov AN-26",3
"1121","May 25, 2009 at 0846 LT","Daytona Beach, Florida","Rockwell Aero Commander 500",1
"1122","May 22, 2009 at 2113 LT","Porto Seguro, Bahia","Beechcraft Super King Air 350",14
"1123","May 20, 2009 at 0630 LT","Madiun, West Java","Lockheed C-130 Hercules",100
"1124","May 10, 2009 at 0200 LT","Útila, Islas de la Bahía","BAe Jetstream 31",1
"1125","May 8, 2009 at 1556 LT","Riyadh, Mantiqat ar Riya<U+1E0D> (<U+0645><U+0646><U+0637><U+0642><U+0629> <U+0627><U+0644><U+0631><U+064A><U+0627><U+0636>)","McDonnell Douglas MD-90",0
"1126","May 6, 2009 at 1330 LT","Baltimore, Maryland","Douglas DC-10",0
"1127","May 4, 2009 at 1430 LT","Seongnam AFB (Seoul), Gyeonggi (<U+ACBD><U+AE30><U+B3C4>)","Antonov AN-2",0
"1128","Apr 30, 2009 at 1748 LT","Pokrovsk, Republic of Yakutia (Sakha)","PZL-Mielec AN-2",3
"1129","Apr 29, 2009 at 0600 LT","Democratic Republic of Congo, DRC","Boeing 737-200",7
"1130","Apr 28, 2009 at 1835 LT","Hamburg, Hamburg","Cessna 421 Golden Eagle",0
